
Name                                                       AppID                                                                                                                                 
BandiFix                                                   {6D809377-6AF0-444B-8957-A3773F02200E}\Bandicam\bdfix.exe                                                                             
Math Input Panel                                           {6D809377-6AF0-444B-8957-A3773F02200E}\Common Files\Microsoft Shared\Ink\mip.exe                                                      
Git GUI                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe                                                                            
Git Release Notes                                          {6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html                                                                          
Configurar Java                                            {6D809377-6AF0-444B-8957-A3773F02200E}\Java\jre1.8.0_351\bin\javacpl.exe                                                              
IntelliJ IDEA 2024.3.2                                     {6D809377-6AF0-444B-8957-A3773F02200E}\JetBrains\IntelliJ IDEA 2024.3.2\bin\idea64.exe                                                
Importar e Exportar Dados do SQL Server 2019 (64 bits)     {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\150\DTS\Binn\DTSWizard.exe                                                
SQL Server 2019 Installation Center (64-bit)               {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\150\Setup Bootstrap\SQL2019\x64\LandingPage.exe                           
Relat?rio de Erro e Uso do SQL Server 2019                 {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft SQL Server\150\Shared\SqlWtsn.exe                                                    
MySQL Workbench 8.0 CE                                     {6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Workbench 8.0 CE\MySQLWorkbench.exe                                                
Node.js                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\nodejs\node.exe                                                                                
WordPad                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe                                                             
Manual do Console RAR                                      {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\Rar.txt                                                                                 
O que h? de novo na ?ltima vers?o                          {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WhatsNew.txt                                                                            
Ajuda do WinRAR                                            {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.chm                                                                              
WinRAR                                                     {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.exe                                                                              
WSL Settings                                               {6D809377-6AF0-444B-8957-A3773F02200E}\WSL\wslsettings\wslsettings.exe                                                                
Orientador de Otimiza??o do Mecanismo de Banco de Dados 20 {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 20\Common7\DTASHELL.EXE                                 
Assistente para Implanta??o do Analysis Services 20        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 20\Common7\IDE\Microsoft.AnalysisServices.Deployment.exe
SQL Server Management Studio 20                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 20\Common7\IDE\Ssms.exe                                 
SQL Server Profiler 20                                     {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 20\Common7\PROFILER.EXE                                 
Steam                                                      {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\Steam.exe                                                                                
AMD Bug Report Tool                                        {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\AMDBugReportTool.exe                                                                           
ODBC Data Sources (32-bit)                                 {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe                                                                                   
Windows PowerShell (x86)                                   {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe                                                          
Windows PowerShell ISE (x86)                               {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe                                                      
Editor do Registro                                         {F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe                                                                                    
Configura??es                                              windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel                                                   
Xbox Console Companion                                     Microsoft.XboxApp_8wekyb3d8bbwe!Microsoft.XboxApp                                                                                     
Mixed Reality Portal                                       Microsoft.MixedReality.Portal_8wekyb3d8bbwe!App                                                                                       
Dicas                                                      Microsoft.Getstarted_8wekyb3d8bbwe!App                                                                                                
Cortana                                                    Microsoft.549981C3F5F10_8wekyb3d8bbwe!App                                                                                             
Gravador de Voz                                            Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App                                                                                      
Captura e Esbo?o                                           Microsoft.ScreenSketch_8wekyb3d8bbwe!App                                                                                              
XLS Opener                                                 BallardAppCraftery.CraftySpreadsheetViewer_epyrqhfctk40t!App                                                                          
Seguran?a do Windows                                       Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI                                                                               
Outlook (new)                                              Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforWindows                                                                 
C?mera                                                     Microsoft.WindowsCamera_8wekyb3d8bbwe!App                                                                                             
Obter Ajuda                                                Microsoft.GetHelp_8wekyb3d8bbwe!App                                                                                                   
Notas Autoadesivas                                         Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App                                                                                      
OneNote for Windows 10                                     Microsoft.Office.OneNote_8wekyb3d8bbwe!microsoft.onenoteim                                                                            
Paint 3D                                                   Microsoft.MSPaint_8wekyb3d8bbwe!Microsoft.MSPaint                                                                                     
Hub de Coment?rios                                         Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App                                                                                        
Calculadora                                                Microsoft.WindowsCalculator_8wekyb3d8bbwe!App                                                                                         
Mapas                                                      Microsoft.WindowsMaps_8wekyb3d8bbwe!App                                                                                               
Rel?gio                                                    Microsoft.WindowsAlarms_8wekyb3d8bbwe!App                                                                                             
Filmes e TV                                                Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo                                                                                 
Fotos                                                      Microsoft.Windows.Photos_8wekyb3d8bbwe!App                                                                                            
Solitaire & Casual Games                                   Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe!App                                                                              
Ubuntu 22.04.5 LTS                                         CanonicalGroupLimited.Ubuntu22.04LTS_79rhkp1fndgsc!ubuntu2204                                                                         
Clima                                                      Microsoft.BingWeather_8wekyb3d8bbwe!App                                                                                               
Ubuntu                                                     CanonicalGroupLimited.Ubuntu_79rhkp1fndgsc!ubuntu                                                                                     
P?gina Inicial de Desenvolvimento                          Microsoft.Windows.DevHome_8wekyb3d8bbwe!App                                                                                           
Vincular ao Celular                                        Microsoft.YourPhone_8wekyb3d8bbwe!App                                                                                                 
Reprodutor Multim?dia                                      Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic                                                                                 
Skype                                                      Microsoft.SkypeApp_kzf8qxf38zg5c!App                                                                                                  
Email                                                      microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail                                                          
Calend?rio                                                 microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.calendar                                                      
Visualizador 3D                                            Microsoft.Microsoft3DViewer_8wekyb3d8bbwe!Microsoft.Microsoft3DViewer                                                                 
Backup do Windows                                          MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup                                                                               
Copilot                                                    Microsoft.Copilot_8wekyb3d8bbwe!App                                                                                                   
WhatsApp                                                   5319275A.WhatsAppDesktop_cv1g1gvanyjgm!App                                                                                            
Microsoft 365 Copilot                                      Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub                                                               
Microsoft Store                                            Microsoft.WindowsStore_8wekyb3d8bbwe!App                                                                                              
Game Bar                                                   Microsoft.XboxGamingOverlay_8wekyb3d8bbwe!App                                                                                         


